X,Y,Degree,Radius,ArcDeflection,ChordDirection,PointsDefl,DistanceBack,DistanceAhead
2153877.00981,735278.659648,-10.0400067594,570.674710548,-9.87471506576,88.4011378844,-4.9373575328,14.9254295276,83.3535420367
2153960.29336,735282.074752,-0.601171679079,9530.68507832,-1.02009470529,87.3923618512,-0.510047352647,83.3535420367,86.3303218956
2154046.51629,735286.379536,-0.602386181055,9511.46977057,-0.896627646354,86.9535201425,-0.448313823177,86.3303218956,62.5152545155
2154108.92747,735289.985248,-0.667443285584,8584.36675454,-0.801502855294,86.5013742531,-0.400751427645,62.5152545155,57.5700366988
2154166.37704,735293.707648,-2.61110987455,2194.30748861,-1.89290175081,86.097925997,-0.946450875407,57.5700366988,14.9224272176
2154181.25027,735294.918352,-4.72530675395,1212.53037097,-1.55131286032,84.9232070077,-0.775656430171,14.9224272176,17.9072027108
2154199.07714,735296.612704,-4.72772707553,1211.90962587,-1.55211807166,84.2178862028,-0.776059035826,17.9072027108,14.9226516353
2154213.91235,735298.225744,-4.73542336231,1209.93995952,-1.55462964124,83.370593301,-0.777314820618,14.9226516353,17.9068823759
2154231.68642,735300.402688,-4.72755188166,1211.95453688,-1.69314461591,82.5939758154,-0.846572307949,17.9068823759,17.9071976541
2154249.42669,735302.842048,-4.73014351015,1211.29051138,-1.83525267325,81.6765889818,-0.917626336626,17.9071976541,20.8914710758
2154270.07518,735306.019024,-4.72676367179,1212.15663594,-1.97499287649,80.7593219567,-0.987496438244,20.8914710758,20.8912066563
2154290.6656,735309.551344,-4.73118295957,1211.02438867,-1.83562581166,79.8419644399,-0.917812905842,20.8912066563,17.9068244669
2154308.26384,735312.861376,-4.72927321225,1211.51341742,-1.6937483138,78.9243187309,-0.846874156898,17.9068244669,17.9069849654
2154325.81139,735316.431184,-4.73136231829,1210.97848059,-1.8357245009,78.0066473289,-0.917862250448,17.9069849654,20.891661167
2154346.21437,735320.923408,-4.73087239599,1211.10388777,-1.83552476494,77.1594439602,-0.917762382474,20.891661167,17.9067810648
2154363.63837,735325.053424,-4.71826783254,1214.3392776,-1.68981900422,76.2427981881,-0.844909502112,17.9067810648,17.9072878523
2154381.00006,735329.440048,,,,,,
